trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.5, 'e': 0.053999999999999417}",20,0,-11.703155700871482,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.009999999999999419}",25,8,-42.85071510144681,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",25,0,32.8451890655325,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,10.469560690754058,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,-14.729852326654337,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",30,1,-49.94536234558793,"{0: 25, 1: 1, 2: 1, 3: 1, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",25,4,28.425561160608414,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,16,13.353256610103617,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,12,11.920129251908243,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,2,-12.651938303323355,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,3,0.4869787530403409,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,11,13.36684314376649,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
